
1+1,Комедия,Драма,Семейная,Современное кино (2000–2020),8.8  
Джентльмены удачи,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.1
Бриллиантовая рука,Комедия,Криминал,Абсурд/Сюр,Классика (до 2000 года),8.7
Великий диктатор,Комедия,Исторический,Абсурд/Сюр,Классика (до 2000 года),8.2
Иван Васильевич меняет профессию,Комедия,Фантастика,Пародия/Мемы,Классика (до 2000 года),8.8
Огни большого города,Комедия,Семейный,Семейная комедия,Классика (до 2000 года),8.5
Новые времена,Комедия,Драма,Абсурд/Сюр,Классика (до 2000 года),8.5
Тонкий человек,Комедия,Детектив,Абсурд/сюр,Классика (до 2000 года),7.8  
Ханума,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.6
12 стульев,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.2  
Любовь и голуби,Комедия,Драма,Семейная,Классика (до 2000 года),8.1
День сурка,Комедия,Фэнтези,Абсурд/Сюр,Классика (до 2000 года),8.2
Служебный роман,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),8.2
Зверополис,Комедия,Детектив,Абсурд/Сюр,Современное кино (2000–2020),8.1  
Цирк,Комедия,Семейный,Семейная,Классика (до 2000 года),7.3
Мой слуга Годфри,Комедия,Драма,Чёрная комедия,Классика (до 2000 года),7.5
Паровоз Генерал,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),7.8
Достучаться до небес,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.1
Мимино,Комедия,Драма,Семейная,Классика (до 2000 года),8.1
Ночь в опере,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),7.6
Шведская спичка,Комедия,Детектив,Пародия/Мемы,Новинки (2020–2025),5.8
С собой не унесешь,Комедия,Семейный,Абсурд/Сюр,Новинки (2020-2025),7.5  
Филадельфийская история,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.6
Магазинчик за углом,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),8.1
Свалкармония,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),7.0
Зальцбург-100: Богема,Комедия,Мелодрама,Абсурд/Сюр,Новинки (2020–2025),6.9
Добро пожаловать, или Посторонним вход воспрещен,Комедия,Семейный,Семейная,Классика (до 2000 года),7.8
Малыш,Комедия,Фантастика,Абсурд/Сюр,Современное кино (2000–2020),7.1
Золотая лихорадка,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.2
Дэдпул,Комедия,Фантастика,Чёрная комедия,Современное кино (2000–2020),7.3
Девчата,Комедия,Семейный,Семейная,Классика (до 2000 года),8.2  
Один дома,Комедия,Семейный,Семейная,Классика (до 2000 года),8.1
Подарок для самого слабого,Комедия,Семейный,Семейная,Новинки (2020–2025),6.8
Воспитание крошки,Комедия,Семейный,Семейная,Новинки (2020–2025),7.5
Шрэк 2,Комедия,Фэнтези,Семейная комедия,Современное кино (2000–2020),7.8  
Утиный суп,Комедия,Приключения,Пародия/Мемы,Классика (до 2000 года),7.8
В добрый час,Комедия,Семейный,Семейная,Классика (до 2000 года),7.6
Охотники за привидениями,Комедия,Фантастика,Абсурд/Сюр,Классика (до 2000 года),7.8
Максим Перепелица,Комедия,Военный,Абсурд/Сюр,Классика (до 2000 года),7.3
Гадкий утёнок,Комедия,Семейный,Семейная,Современное кино (2000–2020),6.8  
Бедные-несчастные,Комедия,Семейный,Семейная комедия,Новинки (2020–2025),7.5  
Амели,Комедия,Фантастика,Абсурд/Сюр,Современное кино (2000–2020),8.1  
Пасхальный парад,Комедия,Семейный,Романтическая,Классика (до 2000 года),7.4
Пигмалион,Комедия,Драма,Романтическая,Классика (до 2000 года),7.4
Маска,Комедия,Фантастика,Абсурд/Сюр,Классика (до 2000 года),7.6
День получки,Комедия,Семейный,Семейные ситуации,Новинка (2020–2025),6.5  
Остров ошибок,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),6.8  
Три плюс два,Комедия,Семейный,Семейная,Современное кино (2000–2020),6.8  
Одиннадцать друзей Оушена,Комедия,Криминал,Абсурд/Сюр,Современное кино (2000–2020),7.8  
Мальчишник в Вегасе,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.3
Три дровосека,Комедия,Семейный,Семейная,Новинка (2020–2025),7.4
Петя и Красная Шапочка,Комедия,Семейный,Семейная,Новинки (2020-2025),5.8
Дэдпул 2,Комедия,Боевик (Экшен),Чёрная комедия,Современное кино (2000–2020),7.5
Люди в черном,Комедия,Фантастика,Абсурд/Сюр,Классика (до 2000 года),7.8
Его девушка Пятница,Комедия,Детектив,Абсурд/Сюр,Классика (до 2000 года),7.8
